binzarization__V5_b'v1',binzarization__V5_b'v2',binzarization__V6_b'v1',binzarization__V6_b'v2',binzarization__V8_b'v1',binzarization__V8_b'v2',binzarization__V8_b'v3',binzarization__V10_b'v1',binzarization__V10_b'v2',binzarization__V10_b'v3',standardization__V1,standardization__V2,standardization__V3,standardization__V4,standardization__V7,standardization__V9,standardization__V11,standardization__V12,Class
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.19680817519251392,1.2762825665342437,-1.5762133413597825,0.9981918232110645,1.4007050319404741,-0.014287172234820972,0.1455549916297096,1.394139439777013,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4202546786390456,-0.7901070172405614,1.2751192681355255,0.9981918232110645,-0.36114217942312044,-0.014287172234820972,1.3841357294911234,1.394139439777013,1
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.39396685470415926,-0.9450862360236718,0.6932146539528097,-0.188114248516856,-0.44723959976389205,1.2358403983120234,-1.499117791432168,-1.2577562337118706,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.8021291343331574,-1.0598856573444944,0.1695005011883652,0.9981918232110645,-0.4087407532700511,-1.2644147427816652,1.1404805023708455,0.06819160303257123,2
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.1782202687615941,-0.7728871040424381,-1.518022879941511,0.9981918232110645,-1.3110137192802511,-0.014287172234820972,1.4450495362711926,1.394139439777013,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.52540597437859,-0.6925275091178623,0.11131003977009354,-0.188114248516856,-0.33174306028236916,-0.014287172234820972,-0.26053705357075435,-1.2577562337118706,2
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2975781669429104,-0.7154873933820268,0.3440718854431801,-0.188114248516856,-0.9407248139122171,-0.014287172234820972,1.1607851046308686,0.06819160303257123,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.4198929968029805,-0.7269673355141091,-1.5762133413597825,-0.188114248516856,0.24083978393512007,-0.014287172234820972,1.4044403317511467,0.06819160303257123,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.28845387712855,1.6666005990250403,1.1005478838807106,-0.188114248516856,-0.42414029186758745,1.2358403983120234,1.2216989114109378,0.06819160303257123,2
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.5374871958717038,1.333682277194655,0.22769096260663685,-1.3744203202447765,0.726625228784677,-0.014287172234820972,1.3232219227110538,1.394139439777013,2
