binzarization__V1_b'1',binzarization__V1_b'2',binzarization__V4_b'1',binzarization__V4_b'2',binzarization__V4_b'3',binzarization__V8_b'1',binzarization__V8_b'2',binzarization__V9_b'1',binzarization__V9_b'2',binzarization__V11_b'1',binzarization__V11_b'2',binzarization__V12_b'1',binzarization__V12_b'2',binzarization__V12_b'3',standardization__V2,standardization__V3,standardization__V5,standardization__V6,standardization__V7,standardization__V10,standardization__V13,standardization__V14,Class
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.3149704946835039,-0.01347162960265767,-0.9162822758464895,-0.34796495168394515,0.8159478244060212,-0.49388662129815225,-0.4883584679922377,0.0373803907979128,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.2769900948737682,-0.384858202530421,0.1704985927982509,-0.34796495168394515,-0.2079226082929244,-0.49388662129815225,-0.1395911646477726,-0.1954133390319889,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.16783119781313657,-0.3300794981828668,-0.9162822758464895,-0.34796495168394515,-0.2367640289323313,-0.49388662129815225,0.5579434420411575,-0.1954133390319889,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.34136365387332024,-0.3496433211641362,-0.6445870586853043,-0.85025745516077,-0.32689346843047795,1.7697603929850454,-1.0696373068996794,-0.1954133390319889,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.43792399237264834,-0.12074659228328466,-0.37289184152411925,-0.34796495168394515,-0.18557050729738403,2.387118669607736,-0.7208700035552144,-0.16506564157891593,1
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.7173052384307043,-0.1963933744775262,0.1704985927982509,1.661205062223354,-0.31607793569070036,-0.08231443688302535,-0.4883584679922377,-0.1954133390319889,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.6149512796214165,-0.36594650698186065,-1.1879774930076745,-0.34796495168394515,-0.2367640289323313,-0.49388662129815225,-0.7208700035552144,-0.1762059355806769,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.040458029110106,-0.24171623105080023,0.9855842442818061,1.661205062223354,-0.10769867157098534,0.7408299319472283,-0.8196874061694795,-0.08785187970464159,1
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.055177469563920466,-0.38681458482854797,-1.4596727101688596,1.661205062223354,-0.3247303618825224,-0.49388662129815225,-0.046586550422581925,-0.09226958249844336,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.852487236831414,-0.15628753736592402,-0.9162822758464895,1.661205062223354,0.15980550485951384,0.12347165532453808,-0.4883584679922377,-0.1858096373063329,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.520687254745114,-0.3300794981828668,1.8006698957653613,1.661205062223354,-0.29444687021114513,0.3292577475321015,0.40099815553614826,-0.03080589145424488,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9300141363678329,-0.38551032996313,0.9855842442818061,1.661205062223354,-0.32328829085055205,0.7408299319472283,1.662373235965297,-0.1954133390319889,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.4057372128728723,-0.3463826840005913,0.1704985927982509,1.661205062223354,0.664530366049135,0.12347165532453808,-0.255846932429261,-0.15507779178423367,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5115860028707446,-0.38551032996313,1.8006698957653613,1.661205062223354,-0.27281580473158995,0.7408299319472283,-1.0696373068996794,-0.0033393045188686884,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0346644088001464,-0.29877738141283583,0.1704985927982509,-0.34796495168394515,1.4144073026737147,-0.49388662129815225,0.7904549776041343,-0.1954133390319889,0
