binzarization__V5_b'v1',binzarization__V5_b'v2',binzarization__V6_b'v1',binzarization__V6_b'v2',binzarization__V8_b'v1',binzarization__V8_b'v2',binzarization__V8_b'v3',binzarization__V10_b'v1',binzarization__V10_b'v2',binzarization__V10_b'v3',standardization__V1,standardization__V2,standardization__V3,standardization__V4,standardization__V7,standardization__V9,standardization__V11,standardization__V12,Class
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0075972605235672,-0.2249332209209387,-1.445903217507219,-1.212864093840854,1.3682956610407722,0.11720298377631128,1.5580840561622435,-1.359772639747295,1
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5239067530027172,1.7458675805507935,0.6984218298033147,1.2373663987669317,1.3179286574459432,-1.1467507628309666,1.3146996847039334,1.4704069321013793,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8628461658323049,0.567671449236171,-1.5054678021547339,1.2373663987669317,-0.47245043033824385,1.3811567303835892,1.6594942109365394,0.05531714617704223,1
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.02843895679364749,-0.7765432278546028,0.34103432191822575,1.2373663987669317,1.315242417254219,0.11720298377631128,-0.0644784202264931,1.4704069321013793,2
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7540507987512024,1.022883590880457,0.10277598332816656,1.2373663987669317,-0.4133531461203112,0.11720298377631128,-1.2814002775180455,0.05531714617704223,2
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.1163926276046694,-0.7497660430519978,0.8175509990983445,0.012251152463038938,-0.4664063899068644,-1.1467507628309666,-0.10504248213621155,-1.359772639747295,1
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5448289389798521,-0.7551214800125189,1.651455184163552,0.012251152463038938,1.3669525409449101,-1.1467507628309666,-1.2814002775180455,0.05531714617704223,2
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6662581073542897,-0.1660234143552076,-1.5054678021547339,-1.212864093840854,1.4267213852107739,1.3811567303835892,-0.14560654404593001,0.05531714617704223,2
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1833436227315015,1.4406076738010958,-0.37374069385195213,-1.212864093840854,-0.524832114076866,-1.1467507628309666,1.7000582728462579,0.05531714617704223,1
0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9883792816951149,-1.1192911933279477,0.34103432191822575,0.012251152463038938,0.95864403180283,0.11720298377631128,0.9293410965616081,-1.359772639747295,2
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8921372262002937,-0.7711877908940818,0.34103432191822575,0.012251152463038938,-1.3018270895330943,1.3811567303835892,-0.8149135655562836,1.4704069321013793,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6661776176472353,1.2585228171433815,-0.7311282017370411,-1.212864093840854,-0.7229423282165266,1.3811567303835892,-1.3016823084729048,-1.359772639747295,2
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7289441755786406,1.3763424302748437,0.7579864144508296,0.012251152463038938,1.428064505306636,0.11720298377631128,-0.10504248213621155,-1.359772639747295,2
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.6268134757397097,1.2478119432223393,0.10277598332816656,0.012251152463038938,1.4267213852107739,-1.1467507628309666,0.1586239202769584,-1.359772639747295,2
